internship_id,job_title,job_type,company_name,sector,description,required_skills,preferred_education,eligible_branches,cities,states,location_type,stipend,start_date,duration_months,number_of_openings,last_date_to_apply,work_mode,minimum_qualification,experience_required
SIH2026-0129,Education Programme Intern,Internship,Vikas Solutions Bhopal,Education,"Synthetic 4-month education programme intern opportunity supporting education projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bhopal.","[""Communication"", ""Content Writing"", ""MS Excel"", ""Teaching""]",BA / B.Sc. / B.Ed. / BBA,"[""Education"", ""Arts"", ""Science"", ""Social Work"", ""Business Administration""]",Bhopal,Madhya Pradesh,On-site,12000,2026-10-25,4,10,2026-10-01,In-office,Graduate,0-1 years preferred
SIH2026-0130,Citizen Services Intern,Internship,BharatSetu Technologies Shillong,Government,"Synthetic 6-month citizen services intern opportunity supporting government projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Shillong.","[""MS Excel"", ""Communication"", ""Documentation""]",Graduate / Postgraduate,"[""Public Administration"", ""Political Science"", ""Economics"", ""Social Work"", ""Law""]",Shillong,Meghalaya,On-site,12750,2026-10-28,6,11,2026-10-03,In-office,Graduate,No prior experience required
SIH2026-0131,E-Governance Support Intern,Internship,Pragati Networks Chandigarh,E-Governance,"Synthetic 2-month e-governance support intern opportunity supporting e-governance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Chandigarh.","[""MS Excel"", ""Data Entry"", ""Documentation""]",Diploma / Graduate,"[""Computer Science"", ""Information Technology"", ""Public Administration"", ""Business Administration""]",Chandigarh,Chandigarh,Hybrid,13500,2026-10-31,2,12,2026-10-05,Hybrid,Diploma,No prior experience required
SIH2026-0132,Tourism Operations Intern,Internship,Navbharat Industries Hyderabad,Tourism,"Synthetic 3-month tourism operations intern opportunity supporting tourism projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Hyderabad.","[""Customer Service"", ""Communication"", ""MS Excel""]",Diploma / Graduate,"[""Tourism"", ""Hospitality"", ""Business Administration"", ""Arts""]",Hyderabad,Telangana,On-site,14250,2026-11-03,3,13,2026-10-07,In-office,Diploma,No prior experience required
SIH2026-0133,Supply Chain Intern,Internship,Sampurna Initiatives Madurai,Logistics,"Synthetic 3-month supply chain intern opportunity supporting logistics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Madurai.","[""MS Excel"", ""Inventory Management"", ""Communication"", ""Data Analysis""]",Diploma / BBA / B.Tech,"[""Logistics"", ""Supply Chain Management"", ""Business Administration"", ""Industrial Engineering""]",Madurai,Tamil Nadu,On-site,15000,2026-11-06,3,14,2026-10-09,In-office,Diploma,No prior experience required
SIH2026-0134,Digital Marketing Intern,Internship,Udaan Projects Ahmedabad,Marketing,"Synthetic 4-month digital marketing intern opportunity supporting marketing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Ahmedabad.","[""Digital Marketing"", ""Content Writing"", ""Communication""]",Graduate / Diploma,"[""Marketing"", ""Business Administration"", ""Commerce"", ""Arts"", ""Mass Communication""]",Ahmedabad,Gujarat,On-site,15750,2026-11-09,4,15,2026-10-11,In-office,Diploma,No prior experience required
SIH2026-0135,Human Resources Intern,Internship,Saksham Services Patna,HR,"Synthetic 6-month human resources intern opportunity supporting hr projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Patna.","[""Communication"", ""MS Excel"", ""Recruitment""]",BBA / BA / MBA,"[""Human Resources"", ""Business Administration"", ""Psychology"", ""Arts"", ""Commerce""]",Patna,Bihar,On-site,16500,2026-11-12,6,16,2026-10-13,In-office,Graduate,No prior experience required
SIH2026-0136,Livelihoods Intern,Internship,Nayi Disha Enterprises Bilaspur,Rural Development,"Synthetic 2-month livelihoods intern opportunity supporting rural development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bilaspur.","[""Field Survey"", ""Communication"", ""Data Collection""]",Diploma / Graduate,"[""Rural Development"", ""Social Work"", ""Agriculture"", ""Economics"", ""Public Administration""]",Bilaspur,Chhattisgarh,Hybrid,17250,2026-11-15,2,17,2026-10-15,Hybrid,Diploma,No prior experience required
SIH2026-0137,Infrastructure Planning Intern,Internship,JanMitra Solutions Srinagar,Infrastructure,"Synthetic 3-month infrastructure planning intern opportunity supporting infrastructure projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Srinagar.","[""AutoCAD"", ""MS Excel"", ""Documentation"", ""Site Survey""]",Diploma / B.Tech,"[""Civil Engineering"", ""Architecture"", ""Urban Planning"", ""Mechanical Engineering""]",Srinagar,Jammu and Kashmir,Remote,20000,2026-11-18,3,18,2026-10-17,Remote,Diploma,0-1 years preferred
SIH2026-0138,Telecom Network Intern,Internship,Aarambh Technologies Panaji,Telecommunications,"Synthetic 3-month telecom network intern opportunity supporting telecommunications projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Panaji.","[""Networking"", ""Telecommunications"", ""Fiber Optics""]",Diploma / B.Tech,"[""Electronics"", ""Telecommunications"", ""Electrical Engineering"", ""Information Technology""]",Panaji,Goa,On-site,20750,2026-11-21,3,19,2026-10-19,In-office,Diploma,No prior experience required
SIH2026-0139,IT Support,Internship,Vikas Networks Nagpur,IT,"Synthetic 4-month it support opportunity supporting it projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Nagpur.","[""Linux"", ""Networking"", ""Troubleshooting""]",BCA / B.Sc. IT / B.Tech,"[""Computer Science"", ""Information Technology"", ""Electronics""]",Nagpur,Maharashtra,On-site,21500,2026-11-24,4,20,2026-10-21,In-office,Graduate,No prior experience required
SIH2026-0140,Software Development Intern,Internship,BharatSetu Industries Varanasi,Software Development,"Synthetic 6-month software development intern opportunity supporting software development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Varanasi.","[""Python"", ""JavaScript"", ""React""]",B.Tech / BCA / MCA,"[""Computer Science"", ""Information Technology"", ""Software Engineering""]",Varanasi,Uttar Pradesh,On-site,22250,2026-11-27,6,21,2026-10-23,In-office,Graduate,No prior experience required
SIH2026-0141,Data Analytics Intern,Internship,Pragati Initiatives Siliguri,Data Science,"Synthetic 2-month data analytics intern opportunity supporting data science projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Siliguri.","[""Python"", ""SQL"", ""MS Excel"", ""Data Analysis""]",B.Sc. / BCA / B.Tech / MBA,"[""Data Science"", ""Computer Science"", ""Statistics"", ""Mathematics"", ""Commerce""]",Siliguri,West Bengal,Hybrid,23000,2026-11-30,2,22,2026-10-25,Hybrid,Graduate,No prior experience required
SIH2026-0142,Computer Vision Intern,Internship,Navbharat Projects Bhopal,AI/ML,"Synthetic 3-month computer vision intern opportunity supporting ai/ml projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bhopal.","[""Python"", ""Machine Learning"", ""Data Analysis""]",B.Tech / M.Tech / M.Sc.,"[""Computer Science"", ""Data Science"", ""Artificial Intelligence"", ""Electronics""]",Bhopal,Madhya Pradesh,On-site,23750,2026-12-03,3,23,2026-10-27,In-office,Graduate,No prior experience required
SIH2026-0143,Cybersecurity Intern,Internship,Sampurna Services Shillong,Cybersecurity,"Synthetic 3-month cybersecurity intern opportunity supporting cybersecurity projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Shillong.","[""Cybersecurity"", ""Networking"", ""Linux""]",B.Tech / BCA / B.Sc. IT,"[""Computer Science"", ""Information Technology"", ""Cybersecurity"", ""Electronics""]",Shillong,Meghalaya,On-site,24500,2026-12-06,3,24,2026-10-29,In-office,Graduate,No prior experience required
SIH2026-0144,Electronics Design Intern,Internship,Udaan Enterprises Chandigarh,Electronics,"Synthetic 4-month electronics design intern opportunity supporting electronics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Chandigarh.","[""Embedded C"", ""Microcontrollers"", ""PCB Design""]",Diploma / B.Tech,"[""Electronics"", ""Electrical Engineering"", ""Instrumentation""]",Chandigarh,Chandigarh,On-site,25250,2026-12-09,4,25,2026-10-31,In-office,Diploma,No prior experience required
SIH2026-0145,Production Planning Intern,Internship,Saksham Solutions Hyderabad,Manufacturing,"Synthetic 6-month production planning intern opportunity supporting manufacturing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Hyderabad.","[""MS Excel"", ""Quality Control"", ""Lean Manufacturing"", ""Documentation""]",Diploma / B.Tech / BBA,"[""Mechanical Engineering"", ""Industrial Engineering"", ""Production Engineering"", ""Business Administration""]",Hyderabad,Telangana,On-site,8000,2026-12-12,6,2,2026-11-02,In-office,Diploma,0-1 years preferred
SIH2026-0146,Automobile Service Intern,Internship,Nayi Disha Technologies Madurai,Automobile,"Synthetic 2-month automobile service intern opportunity supporting automobile projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Madurai.","[""Automobile Engineering"", ""Diagnostics"", ""Testing""]",Diploma / B.Tech,"[""Automobile Engineering"", ""Mechanical Engineering"", ""Electrical Engineering""]",Madurai,Tamil Nadu,Hybrid,8750,2026-12-15,2,3,2026-11-04,Hybrid,Diploma,No prior experience required
SIH2026-0147,Finance Operations Intern,Internship,JanMitra Networks Ahmedabad,Finance,"Synthetic 3-month finance operations intern opportunity supporting finance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Ahmedabad.","[""MS Excel"", ""Financial Analysis"", ""Accounting""]",B.Com / BBA / MBA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Ahmedabad,Gujarat,On-site,7500,2026-12-18,3,4,2026-11-06,In-office,Graduate,No prior experience required
SIH2026-0148,Branch Operations Intern,Internship,Aarambh Industries Patna,Banking,"Synthetic 3-month branch operations intern opportunity supporting banking projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Patna.","[""MS Excel"", ""Customer Service"", ""KYC""]",B.Com / BBA / BA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Patna,Bihar,On-site,8250,2026-12-21,3,5,2026-11-08,In-office,Graduate,No prior experience required
SIH2026-0149,Healthcare Operations Intern,Internship,Vikas Initiatives Bilaspur,Healthcare,"Synthetic 4-month healthcare operations intern opportunity supporting healthcare projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bilaspur.","[""Communication"", ""MS Excel"", ""Documentation"", ""Data Entry""]",B.Sc. / BPH / BBA,"[""Healthcare Management"", ""Public Health"", ""Nursing"", ""Life Sciences"", ""Business Administration""]",Bilaspur,Chhattisgarh,On-site,9000,2026-12-24,4,6,2026-11-10,In-office,Graduate,No prior experience required
SIH2026-0150,Agriculture Extension Intern,Internship,BharatSetu Projects Srinagar,Agriculture,"Synthetic 6-month agriculture extension intern opportunity supporting agriculture projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Srinagar.","[""Agriculture"", ""Field Survey"", ""MS Excel""]",Diploma / B.Sc. / B.Tech,"[""Agriculture"", ""Horticulture"", ""Food Technology"", ""Rural Development""]",Srinagar,Jammu and Kashmir,On-site,9750,2026-12-27,6,7,2026-11-12,In-office,Diploma,No prior experience required
SIH2026-0151,Solar Project Intern,Internship,Pragati Services Panaji,Renewable Energy,"Synthetic 2-month solar project intern opportunity supporting renewable energy projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Panaji.","[""Solar Energy"", ""MS Excel"", ""AutoCAD""]",Diploma / B.Tech,"[""Electrical Engineering"", ""Mechanical Engineering"", ""Renewable Energy"", ""Civil Engineering""]",Panaji,Goa,Hybrid,12500,2026-12-30,2,8,2026-12-09,Hybrid,Diploma,No prior experience required
SIH2026-0152,Education Programme Intern,Internship,Navbharat Enterprises Mumbai,Education,"Synthetic 3-month education programme intern opportunity supporting education projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Mumbai.","[""Communication"", ""Content Writing"", ""MS Excel""]",BA / B.Sc. / B.Ed. / BBA,"[""Education"", ""Arts"", ""Science"", ""Social Work"", ""Business Administration""]",Mumbai,Maharashtra,On-site,11250,2027-01-02,3,9,2026-12-11,In-office,Graduate,No prior experience required
SIH2026-0153,Public Administration Intern,Internship,Sampurna Solutions Lucknow,Government,"Synthetic 3-month public administration intern opportunity supporting government projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Lucknow.","[""MS Excel"", ""Communication"", ""Documentation"", ""Research""]",Graduate / Postgraduate,"[""Public Administration"", ""Political Science"", ""Economics"", ""Social Work"", ""Law""]",Lucknow,Uttar Pradesh,On-site,12000,2027-01-05,3,10,2026-12-13,In-office,Graduate,0-1 years preferred
SIH2026-0154,MIS Intern,Internship,Udaan Technologies Kolkata,E-Governance,"Synthetic 4-month mis intern opportunity supporting e-governance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Kolkata.","[""MS Excel"", ""Data Entry"", ""Documentation""]",Diploma / Graduate,"[""Computer Science"", ""Information Technology"", ""Public Administration"", ""Business Administration""]",Kolkata,West Bengal,Remote,12750,2027-01-08,4,11,2026-12-15,Remote,Diploma,No prior experience required
SIH2026-0155,Tourism Operations Intern,Internship,Saksham Networks Jamshedpur,Tourism,"Synthetic 6-month tourism operations intern opportunity supporting tourism projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Jamshedpur.","[""Customer Service"", ""Communication"", ""MS Excel""]",Diploma / Graduate,"[""Tourism"", ""Hospitality"", ""Business Administration"", ""Arts""]",Jamshedpur,Jharkhand,On-site,13500,2027-01-11,6,12,2026-12-17,In-office,Diploma,No prior experience required
SIH2026-0156,Logistics Coordinator Intern,Internship,Nayi Disha Industries Guwahati,Logistics,"Synthetic 2-month logistics coordinator intern opportunity supporting logistics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Guwahati.","[""MS Excel"", ""Inventory Management"", ""Communication""]",Diploma / BBA / B.Tech,"[""Logistics"", ""Supply Chain Management"", ""Business Administration"", ""Industrial Engineering""]",Guwahati,Assam,Hybrid,14250,2027-01-14,2,13,2026-12-19,Hybrid,Diploma,No prior experience required
SIH2026-0157,Market Research Intern,Internship,JanMitra Initiatives Shimla,Marketing,"Synthetic 3-month market research intern opportunity supporting marketing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Shimla.","[""Digital Marketing"", ""Content Writing"", ""Communication"", ""MS Excel""]",Graduate / Diploma,"[""Marketing"", ""Business Administration"", ""Commerce"", ""Arts"", ""Mass Communication""]",Shimla,Himachal Pradesh,On-site,15000,2027-01-17,3,14,2026-12-21,In-office,Diploma,No prior experience required
SIH2026-0158,Human Resources Intern,Internship,Aarambh Projects Mysuru,HR,"Synthetic 3-month human resources intern opportunity supporting hr projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Mysuru.","[""Communication"", ""MS Excel"", ""Recruitment""]",BBA / BA / MBA,"[""Human Resources"", ""Business Administration"", ""Psychology"", ""Arts"", ""Commerce""]",Mysuru,Karnataka,On-site,15750,2027-01-20,3,15,2026-12-23,In-office,Graduate,No prior experience required
SIH2026-0159,Rural Development Intern,Internship,Vikas Services Coimbatore,Rural Development,"Synthetic 4-month rural development intern opportunity supporting rural development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Coimbatore.","[""Field Survey"", ""Communication"", ""Data Collection""]",Diploma / Graduate,"[""Rural Development"", ""Social Work"", ""Agriculture"", ""Economics"", ""Public Administration""]",Coimbatore,Tamil Nadu,On-site,16500,2027-01-23,4,16,2026-12-25,In-office,Diploma,No prior experience required
SIH2026-0160,Urban Planning Intern,Internship,BharatSetu Enterprises Udaipur,Infrastructure,"Synthetic 6-month urban planning intern opportunity supporting infrastructure projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Udaipur.","[""AutoCAD"", ""MS Excel"", ""Documentation""]",Diploma / B.Tech,"[""Civil Engineering"", ""Architecture"", ""Urban Planning"", ""Mechanical Engineering""]",Udaipur,Rajasthan,On-site,19250,2027-01-26,6,17,2026-12-27,In-office,Diploma,No prior experience required
SIH2026-0161,Telecom Network Intern,Internship,Pragati Solutions Cuttack,Telecommunications,"Synthetic 2-month telecom network intern opportunity supporting telecommunications projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Cuttack.","[""Networking"", ""Telecommunications"", ""Fiber Optics"", ""Troubleshooting""]",Diploma / B.Tech,"[""Electronics"", ""Telecommunications"", ""Electrical Engineering"", ""Information Technology""]",Cuttack,Odisha,Hybrid,20000,2027-01-29,2,18,2026-12-29,Hybrid,Diploma,0-1 years preferred
SIH2026-0162,IT Support Intern,Internship,Navbharat Technologies Bilaspur,IT,"Synthetic 3-month it support intern opportunity supporting it projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bilaspur.","[""Linux"", ""Networking"", ""Troubleshooting""]",BCA / B.Sc. IT / B.Tech,"[""Computer Science"", ""Information Technology"", ""Electronics""]",Bilaspur,Chhattisgarh,On-site,20750,2027-02-01,3,19,2026-12-31,In-office,Graduate,No prior experience required
SIH2026-0163,Frontend Development,Internship,Sampurna Networks Srinagar,Software Development,"Synthetic 3-month frontend development opportunity supporting software development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Srinagar.","[""Python"", ""JavaScript"", ""React""]",B.Tech / BCA / MCA,"[""Computer Science"", ""Information Technology"", ""Software Engineering""]",Srinagar,Jammu and Kashmir,On-site,21500,2027-02-04,3,20,2027-01-02,In-office,Graduate,No prior experience required
SIH2026-0164,Data Analytics Intern,Internship,Udaan Industries Panaji,Data Science,"Synthetic 4-month data analytics intern opportunity supporting data science projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Panaji.","[""Python"", ""SQL"", ""MS Excel""]",B.Sc. / BCA / B.Tech / MBA,"[""Data Science"", ""Computer Science"", ""Statistics"", ""Mathematics"", ""Commerce""]",Panaji,Goa,On-site,22250,2027-02-07,4,21,2027-01-04,In-office,Graduate,No prior experience required
SIH2026-0165,Machine Learning Intern,Internship,Saksham Initiatives Mumbai,AI/ML,"Synthetic 6-month machine learning intern opportunity supporting ai/ml projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Mumbai.","[""Python"", ""Machine Learning"", ""Data Analysis"", ""Pandas""]",B.Tech / M.Tech / M.Sc.,"[""Computer Science"", ""Data Science"", ""Artificial Intelligence"", ""Electronics""]",Mumbai,Maharashtra,On-site,23000,2027-02-10,6,22,2027-01-06,In-office,Graduate,No prior experience required
SIH2026-0166,SOC Analyst Intern,Internship,Nayi Disha Projects Lucknow,Cybersecurity,"Synthetic 2-month soc analyst intern opportunity supporting cybersecurity projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Lucknow.","[""Cybersecurity"", ""Networking"", ""Linux""]",B.Tech / BCA / B.Sc. IT,"[""Computer Science"", ""Information Technology"", ""Cybersecurity"", ""Electronics""]",Lucknow,Uttar Pradesh,Hybrid,23750,2027-02-13,2,23,2027-01-08,Hybrid,Graduate,No prior experience required
SIH2026-0167,Electronics Design Intern,Internship,JanMitra Services Kolkata,Electronics,"Synthetic 3-month electronics design intern opportunity supporting electronics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Kolkata.","[""Embedded C"", ""Microcontrollers"", ""PCB Design""]",Diploma / B.Tech,"[""Electronics"", ""Electrical Engineering"", ""Instrumentation""]",Kolkata,West Bengal,On-site,24500,2027-02-16,3,24,2027-01-10,In-office,Diploma,No prior experience required
SIH2026-0168,Manufacturing Operations Intern,Internship,Aarambh Enterprises Jamshedpur,Manufacturing,"Synthetic 3-month manufacturing operations intern opportunity supporting manufacturing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Jamshedpur.","[""MS Excel"", ""Quality Control"", ""Lean Manufacturing""]",Diploma / B.Tech / BBA,"[""Mechanical Engineering"", ""Industrial Engineering"", ""Production Engineering"", ""Business Administration""]",Jamshedpur,Jharkhand,On-site,25250,2027-02-19,3,25,2027-01-12,In-office,Diploma,No prior experience required
SIH2026-0169,EV Systems Intern,Internship,Vikas Solutions Guwahati,Automobile,"Synthetic 4-month ev systems intern opportunity supporting automobile projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Guwahati.","[""Automobile Engineering"", ""Diagnostics"", ""Testing"", ""MS Excel""]",Diploma / B.Tech,"[""Automobile Engineering"", ""Mechanical Engineering"", ""Electrical Engineering""]",Guwahati,Assam,On-site,8000,2027-02-22,4,2,2027-01-14,In-office,Diploma,0-1 years preferred
SIH2026-0170,Finance Operations Intern,Internship,BharatSetu Technologies Shimla,Finance,"Synthetic 6-month finance operations intern opportunity supporting finance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Shimla.","[""MS Excel"", ""Financial Analysis"", ""Accounting""]",B.Com / BBA / MBA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Shimla,Himachal Pradesh,On-site,6750,2027-02-25,6,3,2027-01-16,In-office,Graduate,No prior experience required
SIH2026-0171,Banking Services Intern,Internship,Pragati Networks Mysuru,Banking,"Synthetic 2-month banking services intern opportunity supporting banking projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Mysuru.","[""MS Excel"", ""Customer Service"", ""KYC""]",B.Com / BBA / BA,"[""Commerce"", ""Finance"", ""Business Administration"", ""Economics""]",Mysuru,Karnataka,Remote,7500,2027-02-28,2,4,2027-01-18,Remote,Graduate,No prior experience required
SIH2026-0172,Hospital Administration Intern,Internship,Navbharat Industries Coimbatore,Healthcare,"Synthetic 3-month hospital administration intern opportunity supporting healthcare projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Coimbatore.","[""Communication"", ""MS Excel"", ""Documentation""]",B.Sc. / BPH / BBA,"[""Healthcare Management"", ""Public Health"", ""Nursing"", ""Life Sciences"", ""Business Administration""]",Coimbatore,Tamil Nadu,On-site,8250,2027-03-03,3,5,2027-01-20,In-office,Graduate,No prior experience required
SIH2026-0173,Agriculture Extension Intern,Internship,Sampurna Initiatives Udaipur,Agriculture,"Synthetic 3-month agriculture extension intern opportunity supporting agriculture projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Udaipur.","[""Agriculture"", ""Field Survey"", ""MS Excel"", ""Communication""]",Diploma / B.Sc. / B.Tech,"[""Agriculture"", ""Horticulture"", ""Food Technology"", ""Rural Development""]",Udaipur,Rajasthan,On-site,9000,2027-03-06,3,6,2027-01-22,In-office,Diploma,No prior experience required
SIH2026-0174,Renewable Energy Intern,Internship,Udaan Projects Cuttack,Renewable Energy,"Synthetic 4-month renewable energy intern opportunity supporting renewable energy projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Cuttack.","[""Solar Energy"", ""MS Excel"", ""AutoCAD""]",Diploma / B.Tech,"[""Electrical Engineering"", ""Mechanical Engineering"", ""Renewable Energy"", ""Civil Engineering""]",Cuttack,Odisha,On-site,11750,2027-03-09,4,7,2027-01-24,In-office,Diploma,No prior experience required
SIH2026-0175,Curriculum Support Intern,Internship,Saksham Services Raipur,Education,"Synthetic 6-month curriculum support intern opportunity supporting education projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Raipur.","[""Communication"", ""Content Writing"", ""MS Excel""]",BA / B.Sc. / B.Ed. / BBA,"[""Education"", ""Arts"", ""Science"", ""Social Work"", ""Business Administration""]",Raipur,Chhattisgarh,On-site,10500,2027-03-12,6,8,2027-01-26,In-office,Graduate,No prior experience required
SIH2026-0176,Public Administration Intern,Internship,Nayi Disha Enterprises Imphal,Government,"Synthetic 2-month public administration intern opportunity supporting government projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Imphal.","[""MS Excel"", ""Communication"", ""Documentation""]",Graduate / Postgraduate,"[""Public Administration"", ""Political Science"", ""Economics"", ""Social Work"", ""Law""]",Imphal,Manipur,Hybrid,11250,2027-03-15,2,9,2027-02-22,Hybrid,Graduate,No prior experience required
SIH2026-0177,E-Governance Support Intern,Internship,JanMitra Solutions Vijayawada,E-Governance,"Synthetic 3-month e-governance support intern opportunity supporting e-governance projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Vijayawada.","[""MS Excel"", ""Data Entry"", ""Documentation"", ""Communication""]",Diploma / Graduate,"[""Computer Science"", ""Information Technology"", ""Public Administration"", ""Business Administration""]",Vijayawada,Andhra Pradesh,On-site,12000,2027-03-18,3,10,2027-02-24,In-office,Diploma,0-1 years preferred
SIH2026-0178,Heritage Tourism Intern,Internship,Aarambh Technologies Pune,Tourism,"Synthetic 3-month heritage tourism intern opportunity supporting tourism projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Pune.","[""Customer Service"", ""Communication"", ""MS Excel""]",Diploma / Graduate,"[""Tourism"", ""Hospitality"", ""Business Administration"", ""Arts""]",Pune,Maharashtra,On-site,12750,2027-03-21,3,11,2027-02-26,In-office,Diploma,No prior experience required
SIH2026-0179,Logistics Coordinator Intern,Internship,Vikas Networks Noida,Logistics,"Synthetic 4-month logistics coordinator intern opportunity supporting logistics projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Noida.","[""MS Excel"", ""Inventory Management"", ""Communication""]",Diploma / BBA / B.Tech,"[""Logistics"", ""Supply Chain Management"", ""Business Administration"", ""Industrial Engineering""]",Noida,Uttar Pradesh,On-site,13500,2027-03-24,4,12,2027-02-28,In-office,Diploma,No prior experience required
SIH2026-0180,Digital Marketing Intern,Internship,BharatSetu Industries Gandhinagar,Marketing,"Synthetic 6-month digital marketing intern opportunity supporting marketing projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Gandhinagar.","[""Digital Marketing"", ""Content Writing"", ""Communication""]",Graduate / Diploma,"[""Marketing"", ""Business Administration"", ""Commerce"", ""Arts"", ""Mass Communication""]",Gandhinagar,Gujarat,On-site,14250,2027-03-27,6,13,2027-03-02,In-office,Diploma,No prior experience required
SIH2026-0181,Talent Acquisition Intern,Internship,Pragati Initiatives Ranchi,HR,"Synthetic 2-month talent acquisition intern opportunity supporting hr projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Ranchi.","[""Communication"", ""MS Excel"", ""Recruitment"", ""Documentation""]",BBA / BA / MBA,"[""Human Resources"", ""Business Administration"", ""Psychology"", ""Arts"", ""Commerce""]",Ranchi,Jharkhand,Hybrid,15000,2027-03-30,2,14,2027-03-04,Hybrid,Graduate,No prior experience required
SIH2026-0182,Rural Development Intern,Internship,Navbharat Projects Thiruvananthapuram,Rural Development,"Synthetic 3-month rural development intern opportunity supporting rural development projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Thiruvananthapuram.","[""Field Survey"", ""Communication"", ""Data Collection""]",Diploma / Graduate,"[""Rural Development"", ""Social Work"", ""Agriculture"", ""Economics"", ""Public Administration""]",Thiruvananthapuram,Kerala,On-site,15750,2027-04-02,3,15,2027-03-06,In-office,Diploma,No prior experience required
SIH2026-0183,Infrastructure Planning Intern,Internship,Sampurna Services Dehradun,Infrastructure,"Synthetic 3-month infrastructure planning intern opportunity supporting infrastructure projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Dehradun.","[""AutoCAD"", ""MS Excel"", ""Documentation""]",Diploma / B.Tech,"[""Civil Engineering"", ""Architecture"", ""Urban Planning"", ""Mechanical Engineering""]",Dehradun,Uttarakhand,On-site,18500,2027-04-05,3,16,2027-03-08,In-office,Diploma,No prior experience required
SIH2026-0184,Network Operations Intern,Internship,Udaan Enterprises Bengaluru,Telecommunications,"Synthetic 4-month network operations intern opportunity supporting telecommunications projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Bengaluru.","[""Networking"", ""Telecommunications"", ""Fiber Optics""]",Diploma / B.Tech,"[""Electronics"", ""Telecommunications"", ""Electrical Engineering"", ""Information Technology""]",Bengaluru,Karnataka,On-site,19250,2027-04-08,4,17,2027-03-10,In-office,Diploma,No prior experience required
SIH2026-0185,IT Support Intern,Internship,Saksham Solutions Coimbatore,IT,"Synthetic 6-month it support intern opportunity supporting it projects. The intern will assist the team with supervised assignments, documentation, and practical project work in Coimbatore.","[""Linux"", ""Networking"", ""Troubleshooting"", ""MS Excel""]",BCA / B.Sc. IT / B.Tech,"[""Computer Science"", ""Information Technology"", ""Electronics""]",Coimbatore,Tamil Nadu,On-site,20000,2027-04-11,6,18,2027-03-12,In-office,Graduate,0-1 years preferred
